device_id;UTC_datetime;UTC_date;UTC_time;datatype;satcount;U_bat_mV;bat_soc_pct;solar_I_mA;hdop;Latitude;Longitude;Altitude_m;speed_km_h;direction_deg;temperature_C;mag_x;mag_y;mag_z;acc_x;acc_y;acc_z
171040;06.09.2020 04:05;06.09.2020;04:05:07;GPS;0;4103;92;0;0.0;0.000000000000000;0.000000000000000;0;0;0;15;16;-303;583;247;-881;-451
171040;06.09.2020 04:35;06.09.2020;04:35:07;GPS;0;4097;91;0;0.0;0.000000000000000;0.000000000000000;0;0;0;18;-179;-262;373;-109;-929;-243
171040;06.09.2020 05:05;06.09.2020;05:05:07;GPS;0;4097;91;0;0.0;0.000000000000000;0.000000000000000;0;0;0;18;-145;115;381;-163;-994;-7
171040;06.09.2020 05:35;06.09.2020;05:35:07;GPS;0;4094;91;0;0.0;0.000000000000000;0.000000000000000;0;0;0;19;-238;-56;256;154;-1040;223
171040;06.09.2020 06:04;06.09.2020;06:04:05;GPS;8;4097;91;1;0.8;46.985461999999998;21.634990999999999;92;0;54;26;-171;-354;290;-37;-996;-141
171040;06.09.2020 06:33;06.09.2020;06:33:43;GPS;6;4105;93;5;01.mar;46.985477000000003;21.634981000000000;85;0;308;32;-149;-342;361;43;-978;-209
171040;06.09.2020 07:03;06.09.2020;07:03:43;GPS;6;4114;94;3;01.kwi;46.985610999999999;21.635078000000000;92;3;11;36;-143;-374;337;37;-899;-445
171040;06.09.2020 07:33;06.09.2020;07:33:52;GPS;5;4122;95;3;01.cze;46.985557999999997;21.634938999999999;111;0;51;36;-12;-556;269;479;-890;-43
171040;06.09.2020 08:03;06.09.2020;08:03:57;GPS;5;4125;96;4;01.cze;46.985934999999998;21.635065000000001;100;6;93;33;-90;-479;278;279;-921;-401
171040;06.09.2020 08:33;06.09.2020;08:33:46;GPS;5;4131;97;1;01.wrz;46.980637000000002;21.635128000000002;81;0;181;31;-232;-94;-38;-123;-990;-141
171040;06.09.2020 09:04;06.09.2020;09:04:41;GPS;8;4131;97;1;01.wrz;46.902312999999999;21.708496000000000;523;42;173;25;23;-417;518;-119;-194;-955
171040;06.09.2020 09:33;06.09.2020;09:33:44;GPS;7;4131;97;1;2.0;46.800156000000001;21.846499999999999;343;43;271;24;112;-281;639;-9;-154;-950
171040;06.09.2020 10:04;06.09.2020;10:04:05;GPS;7;4133;97;1;01.mar;46.644252999999999;21.892962000000001;1141;46;348;22;477;-38;675;20;-104;-781
171040;06.09.2020 10:33;06.09.2020;10:33:43;GPS;6;4133;97;1;01.maj;46.481422000000002;21.875391000000000;869;33;298;22;114;-97;667;-41;-358;-1138
171040;06.09.2020 11:03;06.09.2020;11:03:46;GPS;6;4136;98;1;01.sie;46.292594999999999;21.916660000000000;905;71;176;19;69;-29;638;-39;-19;-874
171040;06.09.2020 11:33;06.09.2020;11:33:55;GPS;6;4136;98;1;01.lip;46.101837000000003;21.929745000000000;1318;72;156;16;35;-231;614;-65;-64;-1037
171040;06.09.2020 12:04;06.09.2020;12:04:05;GPS;7;4139;98;0;01.lut;45.882655999999997;21.945246000000001;836;44;180;21;-37;-116;578;16;-135;-693
171040;06.09.2020 12:33;06.09.2020;12:33:47;GPS;9;4142;99;0;0.9;45.964046000000003;21.822766999999999;1169;69;288;22;451;148;616;66;-28;-1058
171040;06.09.2020 13:03;06.09.2020;13:03:42;GPS;6;4142;99;0;01.lut;46.090674999999997;21.571501000000001;562;49;312;21;532;51;629;53;-76;-957
171040;06.09.2020 13:33;06.09.2020;13:33:43;GPS;6;4145;99;2;01.maj;46.115848999999997;21.444042000000000;1120;66;139;19;59;-234;627;148;-111;-1179
171040;06.09.2020 14:03;06.09.2020;14:03:42;GPS;5;4145;99;0;01.cze;46.130763999999999;21.372955000000001;1620;58;321;16;545;-32;648;-49;4;-800
171040;06.09.2020 14:33;06.09.2020;14:33:49;GPS;5;4145;99;0;01.cze;46.281261000000001;21.227347999999999;1034;34;180;19;430;-391;624;-97;-198;-965
171040;06.09.2020 15:03;06.09.2020;15:03:51;GPS;4;4147;100;0;01.sie;46.389789999999998;21.193680000000001;1072;56;349;22;577;-99;639;-23;20;-807
171040;06.09.2020 15:34;06.09.2020;15:34:05;GPS;8;4147;100;0;1.0;46.565112999999997;21.213408000000001;342;50;0;24;491;-267;659;-27;-347;-921
171040;06.09.2020 16:03;06.09.2020;16:03:43;GPS;7;4150;100;1;01.lut;46.695911000000002;21.231643999999999;111;43;11;28;522;-253;650;27;-17;-966
171040;06.09.2020 16:33;06.09.2020;16:33:42;GPS;6;4153;100;1;01.lut;46.721316999999999;21.254297000000001;81;1;348;30;-142;-68;471;17;-998;-135
171040;06.09.2020 17:01;06.09.2020;17:01:36;GPS;5;4156;100;0;01.lip;46.721214000000003;21.254473000000001;68;1;136;25;-210;-299;238;-114;-992;-123
171040;07.09.2020 04:08;07.09.2020;04:08:10;GPS;4;4147;100;0;01.lip;46.725223999999997;21.260062999999999;61;0;156;16;-210;-289;251;-146;-978;-89
171040;07.09.2020 04:38;07.09.2020;04:38:12;GPS;0;4142;99;0;0.0;0.000000000000000;0.000000000000000;0;0;0;18;561;-98;648;-191;-65;-959
171040;07.09.2020 05:08;07.09.2020;05:08:12;GPS;0;4142;99;0;0.0;0.000000000000000;0.000000000000000;0;0;0;19;883;-4;370;276;577;-449
171040;07.09.2020 05:37;07.09.2020;05:37:45;GPS;6;4136;98;0;01.lip;46.724978999999998;21.260999999999999;82;0;338;17;-59;25;540;31;-923;-392
171040;07.09.2020 06:06;07.09.2020;06:06:53;GPS;6;4136;98;0;01.kwi;46.725285000000000;21.260141000000001;49;0;180;19;-123;-471;165;251;-952;181
171040;07.09.2020 06:37;07.09.2020;06:37:15;GPS;6;4136;98;0;01.mar;46.725062999999999;21.260221000000001;105;1;125;22;-165;-392;251;155;-1002;89
171040;07.09.2020 07:07;07.09.2020;07:07:23;GPS;9;4139;98;0;01.sty;46.725147000000000;21.260083999999999;70;0;149;25;-144;-139;-230;-124;-981;246
171040;07.09.2020 07:36;07.09.2020;07:36:49;GPS;7;4136;98;0;01.lut;46.724926000000004;21.258215000000000;25;0;79;20;-226;-268;50;-42;-998;-172
171040;07.09.2020 08:06;07.09.2020;08:06:50;GPS;7;4136;98;0;01.kwi;46.725025000000002;21.258127000000002;92;7;333;23;-126;243;183;-205;-958;-109
171040;07.09.2020 08:36;07.09.2020;08:36:47;GPS;7;4136;98;1;01.cze;46.728462000000000;21.256637999999999;455;38;356;24;375;-146;701;-47;-163;-1118
171040;07.09.2020 09:06;07.09.2020;09:06:48;GPS;7;4139;98;2;01.lut;46.759621000000003;21.230530000000002;502;57;8;23;474;-83;679;-89;-82;-844
171040;07.09.2020 09:37;07.09.2020;09:37:23;GPS;12;4142;99;1;0.8;46.704334000000003;21.355620999999999;749;60;94;23;351;-291;676;-67;-200;-1090
171040;07.09.2020 10:06;07.09.2020;10:06:48;GPS;9;4142;99;5;1.0;46.697738999999999;21.440484999999999;122;0;270;29;-198;36;-90;-94;-1001;-33
171040;07.09.2020 10:36;07.09.2020;10:36:53;GPS;8;4145;99;0;01.sty;46.697113000000002;21.442360000000001;86;2;102;23;-202;-78;-122;655;-1005;806
171040;07.09.2020 11:07;07.09.2020;11:07:01;GPS;8;4145;99;0;01.lut;46.697730999999997;21.440200999999998;74;3;290;24;58;-159;641;-178;-769;-594
171040;07.09.2020 11:36;07.09.2020;11:36:51;GPS;6;4145;99;0;01.kwi;46.698760999999998;21.437467999999999;99;0;262;23;-138;-353;374;115;-925;-66
171040;07.09.2020 12:06;07.09.2020;12:06:51;GPS;6;4145;99;0;01.maj;46.698284000000001;21.438786000000000;102;2;274;23;-187;96;302;62;-1018;-52
171040;07.09.2020 12:38;07.09.2020;12:38:11;GPS;4;4145;99;0;03.lut;46.698456000000000;21.438313000000001;90;1;310;22;-282;-200;164;-6;-994;230
171040;07.09.2020 13:08;07.09.2020;13:08:11;GPS;0;4139;98;0;0.0;0.000000000000000;0.000000000000000;0;0;0;22;199;-82;675;57;-541;-801
171040;07.09.2020 13:37;07.09.2020;13:37:36;GPS;6;4136;98;0;01.kwi;46.698025000000001;21.440363000000001;45;0;158;22;-160;-414;190;278;-937;299
171040;07.09.2020 14:06;07.09.2020;14:06:53;GPS;5;4136;98;0;01.kwi;46.702331999999998;21.431802999999999;59;3;326;25;-180;-26;397;-160;-1009;46
171040;07.09.2020 14:36;07.09.2020;14:36:57;GPS;4;4136;98;0;01.lip;46.698734000000002;21.438725999999999;49;1;28;25;-208;-405;136;209;-966;-184
171040;07.09.2020 15:08;07.09.2020;15:08:11;GPS;4;4133;97;0;01.wrz;46.697513999999998;21.441331999999999;65;0;278;24;568;-617;-82;3;9;137
171040;07.09.2020 15:38;07.09.2020;15:38:11;GPS;0;4131;97;0;0.0;0.000000000000000;0.000000000000000;0;0;0;22;-68;-361;472;80;-678;-683
171040;07.09.2020 16:08;07.09.2020;16:08:11;GPS;0;4128;96;0;0.0;0.000000000000000;0.000000000000000;0;0;0;22;-206;-336;76;-24;-1030;220
171040;07.09.2020 16:38;07.09.2020;16:38:11;GPS;0;4125;96;0;0.0;0.000000000000000;0.000000000000000;0;0;0;22;30;32;604;397;-280;861
171040;07.09.2020 17:08;07.09.2020;17:08:11;GPS;0;4122;95;0;0.0;0.000000000000000;0.000000000000000;0;0;0;22;-186;-380;139;279;-839;-508
171040;07.09.2020 17:37;07.09.2020;17:37:24;GPS;6;4119;95;0;01.lut;46.697693000000001;21.440348000000000;99;0;292;23;-165;-304;366;109;-976;-151
171040;08.09.2020 04:08;08.09.2020;04:08:09;GPS;0;4114;94;0;0.0;0.000000000000000;0.000000000000000;0;0;0;13;-175;179;106;-149;-903;518
171040;08.09.2020 04:38;08.09.2020;04:38:09;GPS;0;4108;93;0;0.0;0.000000000000000;0.000000000000000;0;0;0;15;-154;62;-160;-344;-613;1488
171040;08.09.2020 05:08;08.09.2020;05:08:09;GPS;0;4108;93;0;0.0;0.000000000000000;0.000000000000000;0;0;0;17;-190;80;-63;89;-1036;306
171040;08.09.2020 05:38;08.09.2020;05:38:09;GPS;0;4105;93;0;0.0;0.000000000000000;0.000000000000000;0;0;0;16;-172;-7;407;9;-902;104
171040;08.09.2020 06:08;08.09.2020;06:08:09;GPS;0;4103;92;5;0.0;0.000000000000000;0.000000000000000;0;0;0;17;-74;76;502;116;-856;-509
171040;08.09.2020 06:38;08.09.2020;06:38:09;GPS;0;4100;92;0;0.0;0.000000000000000;0.000000000000000;0;0;0;17;-127;170;349;-155;-964;-149
171040;08.09.2020 07:08;08.09.2020;07:08:09;GPS;0;4100;92;0;0.0;0.000000000000000;0.000000000000000;0;0;0;17;-92;-167;527;-38;-984;-254
171040;08.09.2020 07:37;08.09.2020;07:37:29;GPS;5;4097;91;0;01.wrz;46.698219000000002;21.439028000000000;27;0;347;20;302;-535;522;557;-477;-643
171040;08.09.2020 08:06;08.09.2020;08:06:48;GPS;5;4097;91;1;2.0;46.621861000000003;21.432537000000000;98;35;98;17;296;-409;625;-25;-257;-1029
171040;08.09.2020 08:37;08.09.2020;08:37:05;GPS;7;4103;92;0;01.lut;46.622345000000003;21.431581000000001;89;0;224;19;-152;200;213;-118;-999;-46
171040;08.09.2020 09:06;08.09.2020;09:06:46;GPS;7;4103;92;1;01.mar;46.513485000000003;21.468245000000000;632;63;135;16;187;-410;607;-10;-81;-1018
171040;08.09.2020 09:36;08.09.2020;09:36:45;GPS;7;4105;93;1;01.lut;46.299435000000003;21.510971000000001;526;34;86;18;282;-257;686;-9;-122;-881
171040;08.09.2020 10:06;08.09.2020;10:06:45;GPS;7;4108;93;0;01.lut;46.059989999999999;21.495149999999999;573;87;179;18;53;18;618;33;-108;-918
171040;08.09.2020 10:36;08.09.2020;10:36:45;GPS;6;4111;94;1;01.lut;45.848720999999998;21.544032999999999;731;85;137;17;152;-351;623;5;26;-812
171040;08.09.2020 11:07;08.09.2020;11:07:05;GPS;9;4114;94;0;1.0;45.645245000000003;21.674562000000002;983;53;152;18;72;-481;488;-6;-276;-1015
171040;08.09.2020 11:36;08.09.2020;11:36:44;GPS;6;4117;95;0;01.mar;45.454543999999999;21.813621999999999;662;23;266;19;416;-54;690;32;-209;-1019
171040;08.09.2020 12:07;08.09.2020;12:07:05;GPS;9;4119;95;1;0.9;45.298172000000001;21.969546999999999;1016;121;113;18;27;-144;619;-23;-56;-983
171040;08.09.2020 12:36;08.09.2020;12:36:46;GPS;9;4119;95;0;0.9;45.172759999999997;22.032748999999999;1377;61;163;15;-35;126;498;-5;-169;-941
171040;08.09.2020 13:06;08.09.2020;13:06:45;GPS;9;4122;95;0;0.9;44.992798000000001;22.163772999999999;1112;72;159;17;55;-215;625;18;-22;-1014
171040;08.09.2020 13:36;08.09.2020;13:36:52;GPS;8;4125;96;3;0.9;44.840290000000003;22.264562999999999;1216;37;95;17;252;-463;575;-51;-4;-750
171040;08.09.2020 14:06;08.09.2020;14:06:45;GPS;7;4128;96;2;01.sty;44.602851999999999;22.487283999999999;868;92;155;20;81;-127;646;-50;-20;-665
171040;08.09.2020 14:36;08.09.2020;14:36:45;GPS;7;4133;97;0;1.0;44.468814999999999;22.749362999999999;1173;43;114;25;193;334;444;9;-314;-1134
171040;08.09.2020 15:07;08.09.2020;15:07:05;GPS;9;4136;98;1;01.sty;44.284790000000001;23.129100999999999;389;91;114;26;135;-289;638;69;-86;-1076
