S/N,UUID,Transmitting time,Collecting time,Longitude,Latitude,Altitude,Geoid height,Speed,Course,Satellite used,Positioning mode,GPS time consumption,HorAccuracy,VerAccuracy,HDOP,VDOP,Data source
6188,db0bbc637a3a,2021-08-08T00:06:01.309Z,2021-08-01T08:06:53Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.309Z,2021-08-01T12:06:54Z,200,200,0,0,0,0,0,0,151,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.309Z,2021-08-01T16:06:53Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.309Z,2021-08-02T07:59:12Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.31Z,2021-08-03T05:36:31Z,18.7845472,52.1688512,113.82,153.6,0.1,214.1,6,2,33,0,0,1.17,0.87,1
6188,db0bbc637a3a,2021-08-08T00:06:01.31Z,2021-08-03T08:04:44Z,200,200,0,0,0,0,0,0,20,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.311Z,2021-08-03T20:03:54Z,200,200,0,0,0,0,0,0,20,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.311Z,2021-08-03T20:04:44Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.311Z,2021-08-03T20:05:09Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.311Z,2021-08-04T12:02:16Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.311Z,2021-08-04T12:04:44Z,200,200,0,0,0,0,0,0,20,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.311Z,2021-08-04T16:06:54Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:01.311Z,2021-08-05T00:02:59Z,18.7847728,52.1685056,-78.18,-38.4,0,211.4,5,1,90,0,0,1.24,0.95,1
6188,db0bbc637a3a,2021-08-08T00:06:01.312Z,2021-08-05T00:05:36Z,18.7844368,52.1687744,110.26,150.03,0.1,10.4,5,2,73,0,0,1.24,0.95,1
6188,db0bbc637a3a,2021-08-08T00:06:01.313Z,2021-08-05T08:03:27Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:02.93Z,2021-08-05T08:04:45Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:02.93Z,2021-08-07T08:02:19Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:02.93Z,2021-08-07T08:06:54Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:02.93Z,2021-08-07T08:09:29Z,200,200,0,0,0,0,0,0,151,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:02.931Z,2021-08-07T12:04:45Z,200,200,0,0,0,0,0,0,21,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:02.931Z,2021-08-07T16:06:54Z,200,200,0,0,0,0,0,0,150,0,0,0,0,1
6188,db0bbc637a3a,2021-08-08T00:06:02.931Z,2021-08-07T20:04:38Z,18.7099168,52.3981856,110.85,150.17,0.2,0,5,2,49,0,0,2.08,0.99,1
6188,db0bbc637a3a,2021-08-08T00:06:02.932Z,2021-08-08T00:05:24Z,18.7098832,52.3980576,144.62,183.94,0.2,203.9,6,2,63,0,0,1.29,0.98,1
6188,db0bbc637a3a,2021-08-08T11:35:15.807Z,2021-08-08T04:04:55Z,18.7098864,52.3973088,149.42,188.74,0.7,259.2,4,2,35,0,0,1.82,0.88,1
6188,db0bbc637a3a,2021-08-08T11:35:15.808Z,2021-08-08T08:04:53Z,18.7028336,52.3953664,-73.57,-34.24,0.1,336.2,4,2,35,0,0,2.22,0.99,1
6188,db0bbc637a3a,2021-08-08T11:35:15.809Z,2021-08-08T11:31:30Z,18.7987312,52.619216,323.65,362.42,10.2,302.3,5,1,128,0,0,4.78,9.38,2
6188,db0bbc637a3a,2021-08-08T11:35:15.81Z,2021-08-08T11:33:53Z,18.8028528,52.6266912,447.32,486.07,10,321.8,6,2,14,0,0,1.5,0.97,2
6188,db0bbc637a3a,2021-08-08T11:39:28.853Z,2021-08-08T11:38:56Z,18.7851008,52.6402048,142.22,180.94,11.2,294.8,5,2,11,0,0,1.6,0.97,1
6188,db0bbc637a3a,2021-08-08T13:29:24.521Z,2021-08-08T11:42:02Z,18.7833792,52.6399264,88.34,127.06,0.3,39.9,5,2,11,0,0,1.63,0.97,1
6188,db0bbc637a3a,2021-08-08T13:29:24.522Z,2021-08-08T11:45:15Z,18.7836336,52.639888,92.39,131.12,0.2,98.4,5,2,15,0,0,1.66,0.96,1
6188,db0bbc637a3a,2021-08-08T13:29:24.523Z,2021-08-08T12:04:39Z,18.7834704,52.6399232,88.65,127.38,0.5,315.9,5,2,17,0,0,1.98,0.96,1
6188,db0bbc637a3a,2021-08-08T13:29:24.524Z,2021-08-08T13:28:30Z,18.7834752,52.6399488,84.45,123.17,0.1,35.4,6,2,69,0,0,1.03,0.86,2
6188,db0bbc637a3a,2021-08-08T13:32:33.353Z,2021-08-08T13:30:27Z,18.7834976,52.63992,89.79,128.51,0.1,0,5,2,11,0,0,1.1,0.93,2
6188,db0bbc637a3a,2021-08-08T13:36:16.068Z,2021-08-08T13:33:32Z,18.7834016,52.6399008,92.76,131.49,0,0,5,2,16,0,0,1.1,0.94,1
6188,db0bbc637a3a,2021-08-08T13:38:13.331Z,2021-08-08T13:37:38Z,18.7834976,52.6399232,89.36,128.08,0.1,0,5,2,16,0,0,1.1,0.94,1
6188,db0bbc637a3a,2021-08-08T15:01:17.369Z,2021-08-08T13:40:33Z,18.7834704,52.6398912,86.39,125.12,0.2,0,5,2,13,0,0,1.1,0.95,1
6188,db0bbc637a3a,2021-08-08T15:01:17.37Z,2021-08-08T14:58:52Z,18.7827536,52.6400224,84.07,122.79,0,247.5,5,2,91,0,0,3.02,0.93,2
6188,db0bbc637a3a,2021-08-08T15:03:07.906Z,2021-08-08T15:02:27Z,18.782656,52.6399232,84.08,122.8,0,0,5,2,7,0,0,2.95,0.93,2
6188,db0bbc637a3a,2021-08-08T15:11:25.955Z,2021-08-08T15:07:34Z,18.7833584,52.6398048,94.5,133.22,0.1,0,5,2,11,0,0,2.84,0.94,1
6188,db0bbc637a3a,2021-08-08T15:11:25.956Z,2021-08-08T15:09:57Z,18.7833168,52.6399776,85.85,124.58,0.7,307.3,5,2,16,0,0,2.79,0.94,1
6188,db0bbc637a3a,2021-08-08T17:04:41.973Z,2021-08-08T16:05:01Z,18.7834016,52.6399072,102.44,141.16,0.1,72.1,5,2,34,0,0,1.08,0.98,1
6188,db0bbc637a3a,2021-08-08T17:04:41.974Z,2021-08-08T17:03:01Z,18.7828048,52.6400288,81.95,120.67,0,0,5,2,34,0,0,1.43,0.92,2
6188,db0bbc637a3a,2021-08-10T00:05:43.92Z,2021-08-08T17:05:11Z,18.7829824,52.63992,108.12,146.84,0,0,5,2,19,0,0,1.41,0.92,2
