IdNr;GpsNumber;GPSTime;SMSTime;Latitude;Longtitude;BatteryVoltage;GpsDescription;Temperature;GPSIntervals;VHFTelemetry;Activity;GSMSignal;N_satellites;Speed_knots;Altitude;Light;Acc_X;Acc_Y;Acc_Z
102;48570881680;01.10.2021 00:00;01.10.2021 20:05;41.917749;26.434866;403;LPPL03;23.0;5;A;909;12;;;;;;;
103;48570881680;01.10.2021 06:00;01.10.2021 20:05;41.918499;26.435099;403;LPPL03;22.0;5;A;909;12;;;;;;;
104;48570881680;01.10.2021 12:02;01.10.2021 20:05;40.159950;27.170182;403;LPPL03;22.0;5;A;909;12;;;;;;;
105;48570881680;01.10.2021 18:02;01.10.2021 20:05;39.250200;28.376766;403;LPPL03;27.0;5;A;909;12;;;;;;;
106;48570881680;02.10.2021 00:00;02.10.2021 20:01;39.247049;28.376282;413;LPPL03;25.0;5;A;953;7;;;;;;;
107;48570881680;02.10.2021 06:00;02.10.2021 20:01;39.247116;28.376466;413;LPPL03;27.0;5;A;953;7;;;;;;;
108;48570881680;02.10.2021 12:00;02.10.2021 20:01;38.777633;30.142533;413;LPPL03;19.0;5;A;953;7;;;;;;;
109;48570881680;02.10.2021 18:00;02.10.2021 20:01;38.484333;31.250850;413;LPPL03;25.0;5;A;953;7;;;;;;;
110;48570881680;02.10.2021 18:54;02.10.2021 20:55;38.484349;31.250783;375;LPPL03;33.0;5;A;0;6;;;;;;;
111;48570881680;02.10.2021 18:54;02.10.2021 20:55;38.484366;31.250766;375;LPPL03;32.0;5;A;0;6;;;;;;;
112;48570881680;02.10.2021 18:54;02.10.2021 20:55;38.484366;31.250766;375;LPPL03;33.0;5;A;0;6;;;;;;;
113;48570881680;02.10.2021 18:54;02.10.2021 20:55;38.484383;31.250766;375;LPPL03;33.0;5;A;0;6;;;;;;;
114;48570881680;03.10.2021 00:00;03.10.2021 20:02;38.484366;31.250866;409;LPPL03;22.0;5;A;840;15;;;;;;;
115;48570881680;03.10.2021 06:02;03.10.2021 20:02;38.419749;31.467282;409;LPPL03;23.0;5;A;840;15;;;;;;;
116;48570881680;03.10.2021 12:01;03.10.2021 20:02;37.276432;33.449533;409;LPPL03;17.0;5;A;840;15;;;;;;;
117;48570881680;03.10.2021 18:01;03.10.2021 20:02;36.944399;34.757400;409;LPPL03;29.0;5;A;840;15;;;;;;;
118;48570881680;04.10.2021 00:00;05.10.2021 02:02;36.944266;34.757500;411;LPPL03;27.0;5;A;792;  ;;;;;;;
119;48570881680;04.10.2021 06:00;05.10.2021 02:02;36.939316;34.764033;411;LPPL03;34.0;5;A;792;  ;;;;;;;
120;48570881680;04.10.2021 18:01;05.10.2021 02:02;34.923916;36.888799;411;LPPL03;26.0;5;A;792;  ;;;;;;;
121;48570881680;05.10.2021 00:44;06.10.2021 02:03;34.917949;36.905933;411;LPPL03;34.0;5;A;632;  ;;;;;;;
122;48570881680;05.10.2021 06:00;06.10.2021 02:03;34.911400;36.906166;411;LPPL03;33.0;5;A;632;  ;;;;;;;
123;48570881680;05.10.2021 18:01;06.10.2021 02:03;32.313266;35.639349;411;LPPL03;28.0;5;A;632;  ;;;;;;;
124;48570881680;06.10.2021 00:52;07.10.2021 20:03;32.315150;35.638749;413;LPPL03;33.0;5;A;700;  ;;;;;;;
